Wavelength nm,Sample 1,Sample 2,Sample3,Sample 4
554,3.609,3.504,3.871,5.285
554.5,3.465,3.407,3.805,5.108
555,3.295,3.262,3.707,4.916
555.5,3.111,3.168,3.591,4.789
556,3.034,3.172,3.644,4.757
556.5,3.198,3.357,3.864,4.891
557,3.566,3.753,4.305,5.273
557.5,3.968,4.185,4.764,5.768
558,4.37,4.565,5.194,6.284
558.5,4.639,4.796,5.378,6.672
559,4.723,4.788,5.36,6.804
559.5,4.598,4.648,5.198,6.614
560,4.271,4.288,4.79,6.208
560.5,3.844,3.833,4.305,5.696
561,3.265,3.22,3.764,5.047
561.5,2.855,2.708,3.225,4.425
562,2.522,2.244,2.757,3.907
562.5,2.157,1.827,2.243,3.436
563,1.922,1.552,1.881,3.126
563.5,1.7,1.371,1.612,2.956
564,1.581,1.287,1.529,2.921
564.5,1.527,1.317,1.573,3.008
565,1.58,1.428,1.763,3.291
565.5,1.647,1.608,2.055,3.628
566,1.777,1.842,2.407,3.963
566.5,2.044,2.122,2.882,4.277
567,2.324,2.416,3.288,4.505
567.5,2.455,2.638,3.53,4.713
568,2.53,2.716,3.589,4.741
568.5,2.631,2.783,3.613,4.804
569,2.768,2.855,3.555,4.81
569.5,2.965,3.012,3.548,4.9
570,3.388,3.334,3.732,5.183
570.5,3.744,3.657,3.893,5.39
571,4.059,3.992,4.073,5.524
571.5,4.248,4.203,4.262,5.618
572,4.269,4.255,4.354,5.659
572.5,3.97,3.997,4.23,5.634
573,3.501,3.536,3.887,5.406
573.5,3.1,3.132,3.596,5.147
574,2.893,2.958,3.417,4.999
574.5,2.919,2.965,3.464,5.021
575,3.21,3.265,3.833,5.367
575.5,3.567,3.708,4.21,5.739
576,3.897,4.097,4.603,6.068
576.5,4.085,4.344,4.857,6.305
577,4.221,4.473,5.001,6.447
577.5,4.152,4.4,4.912,6.432
578,3.92,4.148,4.688,6.202
578.5,3.767,3.979,4.478,5.911
579,3.714,3.884,4.358,5.594
579.5,3.858,3.838,4.242,5.311
580,4.012,3.95,4.297,5.252
580.5,4.154,4.04,4.34,5.208
581,4.139,3.969,4.371,5.108
581.5,3.931,3.663,4.202,4.946
582,3.674,3.379,3.938,4.841
582.5,3.238,2.984,3.559,4.602
583,2.741,2.566,3.195,4.341
583.5,2.417,2.371,3.071,4.288
584,2.222,2.281,3.073,4.24
584.5,2.218,2.284,3.074,4.185
585,2.231,2.359,3.134,4.17
585.5,2.215,2.385,3.143,4.021
586,2.131,2.306,2.991,3.777
586.5,2.041,2.092,2.716,3.461
587,1.998,1.985,2.445,3.266
587.5,1.785,1.749,2.051,2.967
588,1.594,1.559,1.688,2.741
588.5,1.391,1.396,1.535,2.676
589,1.181,1.219,1.373,2.726
589.5,1.161,1.231,1.446,2.947
590,1.182,1.268,1.579,3.261
590.5,1.254,1.337,1.822,3.529
591,1.324,1.475,2.033,3.806
591.5,1.539,1.669,2.301,4.028
592,1.701,1.756,2.439,4.095
592.5,1.689,1.691,2.354,3.895
593,1.628,1.59,2.204,3.477
593.5,1.396,1.381,1.958,3.022
594,0.944,0.946,1.455,2.411
594.5,0.512,0.49,0.973,1.866
595,0.222,0.161,0.577,1.546
595.5,0.051,-0.013,0.364,1.409
596,-0.029,-0.028,0.3,1.499
596.5,0.064,0.089,0.473,1.814
597,0.399,0.391,0.819,2.342
597.5,0.963,1.026,1.449,3.096
598,1.623,1.736,2.2,3.808
598.5,2.044,2.239,2.71,4.287
599,2.269,2.434,2.878,4.386
599.5,2.23,2.389,2.744,4.123
600,2.022,2.126,2.384,3.712
600.5,1.695,1.715,1.957,3.13
601,1.25,1.175,1.462,2.464
601.5,0.763,0.651,0.996,1.922
602,0.477,0.308,0.676,1.638
602.5,0.331,0.116,0.503,1.546
603,0.255,0.001,0.43,1.468
603.5,0.257,-0.042,0.429,1.403
604,0.371,0.032,0.555,1.475
604.5,0.564,0.182,0.73,1.661
605,0.875,0.46,1.06,2.024
605.5,1.409,0.936,1.605,2.601
606,1.956,1.53,2.208,3.284
606.5,2.328,1.971,2.737,3.919
607,2.573,2.299,3.065,4.355
607.5,2.637,2.5,3.243,4.579
608,2.599,2.621,3.274,4.503
608.5,2.561,2.745,3.342,4.359
609,2.551,2.764,3.3,4.146
609.5,2.582,2.736,3.204,3.961
610,2.714,2.819,3.145,3.899
610.5,2.867,2.878,3.057,3.918
611,2.857,2.856,2.877,3.813
611.5,2.785,2.721,2.787,3.734
612,2.688,2.658,2.738,3.754
612.5,2.586,2.654,2.865,3.928
613,2.467,2.666,3.036,4.021
613.5,2.564,2.793,3.23,4.153
614,2.756,2.832,3.368,4.235
614.5,2.825,2.827,3.418,4.253
615,2.785,2.688,3.316,4.207
615.5,2.669,2.499,3.092,4.061
616,2.561,2.323,2.845,3.752
616.5,2.509,2.289,2.764,3.594
617,2.481,2.355,2.798,3.651
617.5,2.495,2.552,2.989,3.82
618,2.41,2.644,3.112,3.908
618.5,2.288,2.555,2.984,3.825
619,2.203,2.364,2.733,3.564
619.5,1.911,2.025,2.328,3.182
620,1.582,1.621,1.872,2.778
620.5,1.343,1.298,1.577,2.406
621,1.295,1.144,1.437,2.221
621.5,1.299,1.055,1.428,2.269
622,1.356,1.013,1.507,2.403
622.5,1.436,1.19,1.723,2.553
623,1.576,1.422,1.965,2.844
623.5,1.717,1.588,2.094,3.06
624,1.694,1.582,2.021,3.015
624.5,1.452,1.464,1.842,2.898
625,1.188,1.289,1.623,2.749
625.5,0.817,1.043,1.45,2.524
626,0.534,0.738,1.234,2.301
626.5,0.389,0.48,1.086,2.238
627,0.17,0.185,0.903,2.106
627.5,0.189,0.302,1.013,2.116
628,0.515,0.627,1.252,2.331
628.5,0.896,0.919,1.484,2.497
629,1.095,1.096,1.662,2.519
629.5,1.236,1.321,1.765,2.545
630,1.464,1.565,1.863,2.644
630.5,1.704,1.728,2.026,2.81
631,1.962,1.826,2.173,2.884
